gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
GLT8D2,6.529072318316542,-1.0705071443812513,0.1446274974157981,-7.401823052386693,1.3432742083816186e-13,1.6029070591061255e-11,10.795091658486484
TBC1D10C,4.290294725075903,-1.5485152395990582,0.20928140461491748,-7.399201292863842,1.3700603784661526e-13,1.6227604038276873e-11,10.789745597842828
TPD52L2,56.90786122743294,0.5645590211339941,0.07632290479954898,7.396980272393017,1.3931623750967253e-13,1.6379901748379882e-11,10.78568870759785
JAM2,7.751580779020721,-1.4872756960464428,0.20112148741033117,-7.394911976819661,1.4150197800259207e-13,1.6515449841324433e-11,10.782109592669249
NAPSB,6.155222877791099,-1.5552396105487483,0.21062732878827814,-7.3838452944160435,1.5378212606826e-13,1.7818668085735344e-11,10.749124761838637
NEK2,6.81219848539964,1.2463543085426645,0.1688737141483312,7.380392589979529,1.5782345715843768e-13,1.8155374675995817e-11,10.740994784038975
GYPC,17.46192988365572,-1.3042363948495554,0.17674752145834888,-7.37909298013496,1.5937150679342065e-13,1.820250281161997e-11,10.73986889319377
CNRIP1,2.1518707927804157,-1.173666813612235,0.1590830620257867,-7.377698157595108,1.61049570722448e-13,1.8263706637247824e-11,10.73841107736362
RIN3,8.118622687502066,-0.8078525641529481,0.1095209550769713,-7.376237392973697,1.6282557800649383e-13,1.833507741073124e-11,10.73671725210739
SASH3,8.513601225633925,-1.3714616609551966,0.18600462184530026,-7.373266574503934,1.6649708968511922e-13,1.8617401846608783e-11,10.730080927136187
ZNF521,2.7138985803225317,-1.1515247109040534,0.15641227228133828,-7.36211228255037,1.810226018685837e-13,2.010105141582398e-11,10.696781225557217
GIMAP1-GIMAP5,3.823804552324328,-1.0693590540077007,0.1453206382015004,-7.358617930957172,1.8582404919584065e-13,2.0351551689325286e-11,10.691402472708008
GNG2,5.311059350670004,-1.1089747462247983,0.1507007423718447,-7.35878754657009,1.8558812475102618e-13,2.0351551689325286e-11,10.691402472708008
CPNE1,54.12308180904346,0.7754841251446558,0.10546687758326703,7.352868909316142,1.939971792990961e-13,2.1102142156411882e-11,10.675673455627093
